;Number of cuts;Length of X;K subsets;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;1;0.026485;0.0;0.1627421273057471;[0.026485];0.213153;0.0;0.46168495751973554;[0.213153]
1;3;480;2;0.027233;5.59503999999998e-07;0.16502254541728534;[0.026485, 0.027981];0.21551150000000002;5.562522249999997e-06;0.46422617060841154;[0.213153, 0.21787]
2;3;480;3;0.02654366666666667;1.3233635555555544e-06;0.16291821047111682;[0.026485, 0.027981, 0.025165];0.21617066666666665;4.577349555555536e-06;0.46493665086451413;[0.213153, 0.21787, 0.217489]
3;3;480;4;0.026705000000000003;1.0706079999999996e-06;0.16341336968559214;[0.026485, 0.027981, 0.025165, 0.027189];0.21774225;1.0842634687499953e-05;0.46661698143693026;[0.213153, 0.21787, 0.217489, 0.222457]
4;3;480;5;0.026502600000000005;1.0203494399999996e-06;0.16279305774682165;[0.026485, 0.027981, 0.025165, 0.027189, 0.025693];0.21729279999999998;9.482128959999966e-06;0.46613658714055045;[0.213153, 0.21787, 0.217489, 0.222457, 0.215495]
5;3;480;6;0.026646333333333338;9.535875555555554e-07;0.1632341255552214;[0.026485, 0.027981, 0.025165, 0.027189, 0.025693, 0.027365];0.2186795;1.751645858333333e-05;0.46761307032782634;[0.213153, 0.21787, 0.217489, 0.222457, 0.215495, 0.225613]
6;4;240;1;0.037308;0.0;0.19315278926280097;[0.037308];0.27025;0.0;0.5198557492228012;[0.27025]
7;4;240;2;0.037044;6.969600000000018e-08;0.1924679981295592;[0.037308, 0.03678];0.273657;1.1607648999999955e-05;0.523111261923312;[0.27025, 0.277064]
8;4;240;3;0.036604;4.3366400000000115e-07;0.19132058523849438;[0.037308, 0.03678, 0.035724];0.27546333333333334;1.4264112888888876e-05;0.5248324201308875;[0.27025, 0.277064, 0.279076]
9;4;240;4;0.036494;3.615480000000006e-07;0.19103308208789388;[0.037308, 0.03678, 0.035724, 0.036164];0.27688274999999996;1.6742315687499965e-05;0.5261805846706171;[0.27025, 0.277064, 0.279076, 0.281141]
10;4;240;5;0.036428;3.0666240000000036e-07;0.1908604027492345;[0.037308, 0.03678, 0.035724, 0.036164, 0.036164];0.27597299999999997;1.6704432799999915e-05;0.525315424832738;[0.27025, 0.277064, 0.279076, 0.281141, 0.272334]
11;4;240;6;0.036076;8.750720000000009e-07;0.18993452800373078;[0.037308, 0.03678, 0.035724, 0.036164, 0.036164, 0.034316];0.2774856666666667;2.5361162888888836e-05;0.5267450099467272;[0.27025, 0.277064, 0.279076, 0.281141, 0.272334, 0.285049]
12;5;120;1;0.037132;0.0;0.19269665279915996;[0.037132];0.322021;0.0;0.5674689418814037;[0.322021]
13;5;120;2;0.0377035;3.266122500000029e-07;0.19417305010672825;[0.037132, 0.038275];0.3232695;1.5587522499999644e-06;0.5685665671209924;[0.322021, 0.324518]
14;5;120;3;0.036897000000000006;1.5186259999999998e-06;0.19208196524921334;[0.037132, 0.038275, 0.035284];0.32469466666666663;5.101368222222174e-06;0.5698153782572425;[0.322021, 0.324518, 0.327545]
15;5;120;4;0.036845750000000003;1.1468491875e-06;0.19194948072556098;[0.037132, 0.038275, 0.035284, 0.036692];0.32782625;3.324646868750001e-05;0.5725320982541612;[0.322021, 0.324518, 0.327545, 0.337221]
16;5;120;5;0.036691800000000004;1.0122817600000012e-06;0.1915483952379659;[0.037132, 0.038275, 0.035284, 0.036692, 0.036076];0.327725;2.66381812e-05;0.5724494404039538;[0.322021, 0.324518, 0.327545, 0.337221, 0.32732]
17;5;120;6;0.0365745;9.123645833333346e-07;0.1912422224181069;[0.037132, 0.038275, 0.035284, 0.036692, 0.036076, 0.035988];0.3277406666666667;2.219971155555556e-05;0.5724670007564725;[0.322021, 0.324518, 0.327545, 0.337221, 0.32732, 0.327819]
18;6;60;1;0.093709;0.0;0.30611925780649607;[0.093709];0.409091;0.0;0.6396022201337328;[0.409091]
19;6;60;2;0.090673;9.217295999999983e-06;0.3011042721450495;[0.093709, 0.087637];0.416854;6.026416900000031e-05;0.6455956442162539;[0.409091, 0.424617]
20;6;60;3;0.09353266666666667;2.250025088888889e-05;0.305794320443951;[0.093709, 0.087637, 0.099252];0.41614966666666664;4.1168283555555734e-05;0.6450647241813112;[0.409091, 0.424617, 0.414741]
21;6;60;4;0.09263075000000001;1.93155491875e-05;0.30432126848252405;[0.093709, 0.087637, 0.099252, 0.089925];0.41505899999999996;3.4444874000000124e-05;0.6442239945283007;[0.409091, 0.424617, 0.414741, 0.411787]
22;6;60;5;0.09238880000000001;1.5686598560000005e-05;0.3039294546460412;[0.093709, 0.087637, 0.099252, 0.089925, 0.091421];0.41520539999999995;2.7641631040000102e-05;0.6443428888169404;[0.409091, 0.424617, 0.414741, 0.411787, 0.415791]
23;6;60;6;0.0919195;1.4173377916666671e-05;0.3031589131496604;[0.093709, 0.087637, 0.099252, 0.089925, 0.091421, 0.089573];0.41597999999999996;2.603471833333338e-05;0.644944931976108;[0.409091, 0.424617, 0.414741, 0.411787, 0.415791, 0.419853]
24;7;60;1;0.093709;0.0;0.30611925780649607;[0.093709];0.409091;0.0;0.6396022201337328;[0.409091]
25;7;60;2;0.090673;9.217295999999983e-06;0.3011042721450495;[0.093709, 0.087637];0.416854;6.026416900000031e-05;0.6455956442162539;[0.409091, 0.424617]
26;7;60;3;0.09359133333333335;2.3178202888888874e-05;0.3058891222819871;[0.093709, 0.087637, 0.099428];0.41606633333333337;4.141695022222243e-05;0.6449999351807031;[0.409091, 0.424617, 0.414491]
27;7;60;4;0.09267475;1.9904027187499987e-05;0.30439258527896584;[0.093709, 0.087637, 0.099428, 0.089925];0.4149965;3.449634275000014e-05;0.6441754447797976;[0.409091, 0.424617, 0.414491, 0.411787]
28;7;60;5;0.09242399999999999;1.6174723999999985e-05;0.3039865544329222;[0.093709, 0.087637, 0.099428, 0.089925, 0.091421];0.4151554;2.7698071040000117e-05;0.6443040446318492;[0.409091, 0.424617, 0.414491, 0.411787, 0.415791]
29;7;60;6;0.09194883333333333;1.4607853472222216e-05;0.3032065722900167;[0.093709, 0.087637, 0.099428, 0.089925, 0.091421, 0.089573];0.4159383333333333;2.614664888888894e-05;0.6449125418880024;[0.409091, 0.424617, 0.414491, 0.411787, 0.415791, 0.419853]
30;8;60;1;0.093709;0.0;0.30611925780649607;[0.093709];0.409091;0.0;0.6396022201337328;[0.409091]
31;8;60;2;0.090673;9.217295999999983e-06;0.3011042721450495;[0.093709, 0.087637];0.416854;6.026416900000031e-05;0.6455956442162539;[0.409091, 0.424617]
32;8;60;3;0.09353266666666667;2.250025088888889e-05;0.305794320443951;[0.093709, 0.087637, 0.099252];0.41614966666666664;4.1168283555555734e-05;0.6450647241813112;[0.409091, 0.424617, 0.414741]
33;8;60;4;0.09263075000000001;1.93155491875e-05;0.30432126848252405;[0.093709, 0.087637, 0.099252, 0.089925];0.41505899999999996;3.4444874000000124e-05;0.6442239945283007;[0.409091, 0.424617, 0.414741, 0.411787]
34;8;60;5;0.09238880000000001;1.5686598560000005e-05;0.3039294546460412;[0.093709, 0.087637, 0.099252, 0.089925, 0.091421];0.41520539999999995;2.7641631040000102e-05;0.6443428888169404;[0.409091, 0.424617, 0.414741, 0.411787, 0.415791]
35;8;60;6;0.0919195;1.4173377916666671e-05;0.3031589131496604;[0.093709, 0.087637, 0.099252, 0.089925, 0.091421, 0.089573];0.41597999999999996;2.603471833333338e-05;0.644944931976108;[0.409091, 0.424617, 0.414741, 0.411787, 0.415791, 0.419853]
